nested,independent,process_number,dimensions,mode,max_pareto,max_theoretical_pareto,max_time,pareto_time
7,4,4,10,bagging_remove_divide,21,73,0.00010704994201660156,0.011222600936889648
7,4,4,10,bagging_remove_reverse,36,73,0.00010323524475097656,0.02829456329345703
7,4,4,10,bagging_remove_reverse_divide,28,73,0.00010657310485839844,0.018567562103271484
7,4,5,1,random,1,57,7.843971252441406e-05,0.00047588348388671875
7,4,5,1,bagging_divide,1,57,7.748603820800781e-05,0.0004696846008300781
7,4,5,1,bagging_remove,1,57,7.867813110351562e-05,0.00048470497131347656
7,4,5,1,bagging_remove_divide,1,57,7.891654968261719e-05,0.00047397613525390625
7,4,5,1,bagging_remove_reverse,1,57,7.700920104980469e-05,0.0003542900085449219
7,4,5,1,bagging_remove_reverse_divide,1,57,7.748603820800781e-05,0.0003497600555419922
7,4,5,2,random,3,57,7.891654968261719e-05,0.0006344318389892578
7,4,5,2,bagging_divide,4,57,7.867813110351562e-05,0.0011610984802246094
7,4,5,2,bagging_remove,3,57,9.202957153320312e-05,0.0008258819580078125
7,4,5,2,bagging_remove_divide,6,57,7.772445678710938e-05,0.0010907649993896484
7,4,5,2,bagging_remove_reverse,3,57,7.700920104980469e-05,0.0006537437438964844
7,4,5,2,bagging_remove_reverse_divide,2,57,7.677078247070312e-05,0.0005333423614501953
7,4,5,3,random,6,57,7.748603820800781e-05,0.0008339881896972656
7,4,5,3,bagging_divide,8,57,7.677078247070312e-05,0.0016205310821533203
7,4,5,3,bagging_remove,8,57,7.748603820800781e-05,0.0014424324035644531
7,4,5,3,bagging_remove_divide,13,57,7.82012939453125e-05,0.0023260116577148438
7,4,5,3,bagging_remove_reverse,3,57,7.724761962890625e-05,0.0009107589721679688
7,4,5,3,bagging_remove_reverse_divide,4,57,7.796287536621094e-05,0.0008432865142822266
7,4,5,4,random,6,57,8.296966552734375e-05,0.0011060237884521484
7,4,5,4,bagging_divide,13,57,7.700920104980469e-05,0.0035142898559570312
7,4,5,4,bagging_remove,13,57,7.867813110351562e-05,0.0020945072174072266
7,4,5,4,bagging_remove_divide,14,57,7.772445678710938e-05,0.0027098655700683594
7,4,5,4,bagging_remove_reverse,7,57,7.796287536621094e-05,0.0016222000122070312
7,4,5,4,bagging_remove_reverse_divide,7,57,7.581710815429688e-05,0.0010859966278076172
7,4,5,5,random,8,57,7.796287536621094e-05,0.001371622085571289
7,4,5,5,bagging_divide,9,57,7.843971252441406e-05,0.0016064643859863281
7,4,5,5,bagging_remove,12,57,7.748603820800781e-05,0.002212047576904297
7,4,5,5,bagging_remove_divide,9,57,7.82012939453125e-05,0.0021560192108154297
7,4,5,5,bagging_remove_reverse,7,57,7.843971252441406e-05,0.0019369125366210938
7,4,5,5,bagging_remove_reverse_divide,8,57,7.796287536621094e-05,0.0014541149139404297
7,4,5,6,random,10,57,8.511543273925781e-05,0.0015180110931396484
7,4,5,6,bagging_divide,24,57,7.987022399902344e-05,0.0050640106201171875
7,4,5,6,bagging_remove,8,57,7.867813110351562e-05,0.0023987293243408203
7,4,5,6,bagging_remove_divide,15,57,7.891654968261719e-05,0.003197193145751953
7,4,5,6,bagging_remove_reverse,14,57,7.796287536621094e-05,0.002948760986328125
7,4,5,6,bagging_remove_reverse_divide,12,57,7.82012939453125e-05,0.002348184585571289
7,4,5,7,random,12,57,7.843971252441406e-05,0.00200653076171875
7,4,5,7,bagging_divide,21,57,7.867813110351562e-05,0.0035588741302490234
7,4,5,7,bagging_remove,15,57,7.915496826171875e-05,0.0030066967010498047
7,4,5,7,bagging_remove_divide,13,57,7.867813110351562e-05,0.003204345703125
7,4,5,7,bagging_remove_reverse,16,57,7.772445678710938e-05,0.0035009384155273438
7,4,5,7,bagging_remove_reverse_divide,17,57,7.867813110351562e-05,0.003858327865600586
7,4,5,8,random,10,57,8.392333984375e-05,0.0021228790283203125
7,4,5,8,bagging_divide,19,57,7.724761962890625e-05,0.004243612289428711
7,4,5,8,bagging_remove,10,57,7.843971252441406e-05,0.002494335174560547
7,4,5,8,bagging_remove_divide,15,57,7.963180541992188e-05,0.00403594970703125
7,4,5,8,bagging_remove_reverse,25,57,7.891654968261719e-05,0.005344390869140625
7,4,5,8,bagging_remove_reverse_divide,12,57,7.867813110351562e-05,0.003070831298828125
7,4,5,9,random,8,57,7.987022399902344e-05,0.0014739036560058594
7,4,5,9,bagging_divide,22,57,8.034706115722656e-05,0.004816770553588867
7,4,5,9,bagging_remove,18,57,7.915496826171875e-05,0.004130840301513672
7,4,5,9,bagging_remove_divide,19,57,8.440017700195312e-05,0.004273414611816406
7,4,5,9,bagging_remove_reverse,25,57,7.796287536621094e-05,0.006507396697998047
7,4,5,9,bagging_remove_reverse_divide,19,57,7.82012939453125e-05,0.005261421203613281
7,4,5,10,random,8,57,8.559226989746094e-05,0.0017707347869873047
7,4,5,10,bagging_divide,16,57,7.891654968261719e-05,0.0036764144897460938
7,4,5,10,bagging_remove,27,57,7.891654968261719e-05,0.005516529083251953
7,4,5,10,bagging_remove_divide,16,57,7.987022399902344e-05,0.0036156177520751953
7,4,5,10,bagging_remove_reverse,30,57,7.82012939453125e-05,0.008075952529907227
7,4,5,10,bagging_remove_reverse_divide,19,57,8.058547973632812e-05,0.004645586013793945
7,4,6,1,random,1,129,0.00014972686767578125,0.0009822845458984375
7,4,6,1,bagging_divide,1,129,0.0001480579376220703,0.0009679794311523438
7,4,6,1,bagging_remove,1,129,0.0001468658447265625,0.0009613037109375
7,4,6,1,bagging_remove_divide,1,129,0.00014519691467285156,0.0009429454803466797
7,4,6,1,bagging_remove_reverse,1,129,0.0001475811004638672,0.0007102489471435547
7,4,6,1,bagging_remove_reverse_divide,1,129,0.00014734268188476562,0.0007040500640869141
7,4,6,2,random,3,129,0.0001575946807861328,0.0016894340515136719
7,4,6,2,bagging_divide,10,129,0.0001430511474609375,0.00508880615234375
7,4,6,2,bagging_remove,3,129,0.0001461505889892578,0.001310110092163086
7,4,6,2,bagging_remove_divide,4,129,0.000148773193359375,0.0020389556884765625
7,4,6,2,bagging_remove_reverse,3,129,0.00014352798461914062,0.0012476444244384766
7,4,6,2,bagging_remove_reverse_divide,3,129,0.00014734268188476562,0.001195669174194336
7,4,6,3,random,4,129,0.00014662742614746094,0.0021402835845947266
7,4,6,3,bagging_divide,10,129,0.0001468658447265625,0.004887819290161133
7,4,6,3,bagging_remove,8,129,0.0001475811004638672,0.003815174102783203
7,4,6,3,bagging_remove_divide,8,129,0.00014710426330566406,0.0034368038177490234
7,4,6,3,bagging_remove_reverse,14,129,0.0001475811004638672,0.004774570465087891
7,4,6,3,bagging_remove_reverse_divide,7,129,0.00014281272888183594,0.0021359920501708984
7,4,6,4,random,5,129,0.0001513957977294922,0.0032050609588623047
7,4,6,4,bagging_divide,27,129,0.0001590251922607422,0.012410640716552734
7,4,6,4,bagging_remove,6,129,0.00014781951904296875,0.003430604934692383
7,4,6,4,bagging_remove_divide,13,129,0.0001480579376220703,0.008789777755737305
7,4,6,4,bagging_remove_reverse,8,129,0.00014352798461914062,0.003841400146484375
7,4,6,4,bagging_remove_reverse_divide,24,129,0.00014662742614746094,0.009603261947631836
7,4,6,5,random,9,129,0.00014638900756835938,0.0036683082580566406
7,4,6,5,bagging_divide,20,129,0.00014734268188476562,0.01384592056274414
7,4,6,5,bagging_remove,14,129,0.00014829635620117188,0.00706171989440918
7,4,6,5,bagging_remove_divide,15,129,0.00014710426330566406,0.006381511688232422
7,4,6,5,bagging_remove_reverse,28,129,0.00014638900756835938,0.021456003189086914
7,4,6,5,bagging_remove_reverse_divide,10,129,0.0001461505889892578,0.003911733627319336
7,4,6,6,random,12,129,0.00015234947204589844,0.005410909652709961
7,4,6,6,bagging_divide,34,129,0.00014829635620117188,0.02090311050415039
7,4,6,6,bagging_remove,11,129,0.00014781951904296875,0.0074596405029296875
7,4,6,6,bagging_remove_divide,21,129,0.00014734268188476562,0.011107206344604492
7,4,6,6,bagging_remove_reverse,12,129,0.00014925003051757812,0.005899906158447266
7,4,6,6,bagging_remove_reverse_divide,36,129,0.00014591217041015625,0.014215707778930664
7,4,6,7,random,10,129,0.00014591217041015625,0.0052149295806884766
7,4,6,7,bagging_divide,26,129,0.00015020370483398438,0.01429128646850586
7,4,6,7,bagging_remove,15,129,0.00014662742614746094,0.0106353759765625
